protID,gene,Tminus30_T0,T0_T15,T15_T30,T30_T45,T45_T60,T60_T90,T90_T150,T150_T210,T210_T330
P54423,wprA,0,0,0,0,0,0,0,0,1
P29726,purA,0,0,0,0,1,1,0,0,0
P28015,spoVG,0,0,0,0,0,0,0,0,1
P46898,rplF,0,0,0,0,0,1,0,0,1
P25052,tenA,0,0,0,0,0,0,0,0,1
O31620,thiD,0,0,-1,0,0,0,0,0,0
P94356,yxkC,0,-1,0,0,0,0,0,0,0
P23446,flgG,0,0,0,0,0,-1,0,0,1
Q06797,rplA,0,0,0,0,0,0,0,0,1
P21476,rpsS,0,0,0,0,0,0,0,0,1
P54420,asnB,0,0,0,0,0,0,0,0,1
Q05852,gtaB,0,-1,0,0,0,0,0,0,0
P20166,ptsG,0,0,0,0,0,0,0,0,1
P17922,pheT,0,-1,0,0,0,0,0,0,1
O07621,hemAT,0,0,0,0,0,0,0,0,1
O31618,thiG,0,0,0,0,0,0,0,1,0
O32213,cysI,0,-1,0,0,1,0,0,0,0
P21474,rpsP,0,0,0,0,0,1,0,0,0
P21473,rpsO,0,0,0,0,0,0,0,0,1
O34764,sat,0,0,0,0,0,1,0,0,0
P13800,degU,0,0,0,0,0,1,1,1,0
O34538,ycdA,0,-1,0,0,0,0,0,0,1
P08495,lysC,0,0,0,0,0,0,0,0,1
P16304,adk,0,-1,0,0,0,0,0,0,0
O34948,ykwC,0,-1,0,0,0,0,0,0,1
Q02114,lytC,0,0,0,0,0,0,0,0,1
P37599,cheV,0,-1,0,0,0,0,0,0,1
O32247,yvbJ,0,0,0,0,0,0,0,0,1
P21464,rpsB,0,0,-1,0,1,1,0,0,1
O31567,yfiY,0,-1,0,0,0,1,1,0,0
P29072,cheA,0,0,0,0,0,0,1,0,1
P37528,pdxT,0,0,0,1,0,0,0,1,0
P45745,dhbF,0,0,0,0,0,0,0,0,1
P94421,yclQ,0,0,0,1,0,1,0,0,1
O31742,rplS,0,0,0,-1,0,1,0,0,1
O34992,opuCA,0,0,0,1,0,0,0,0,0
P12879,rpsH,0,0,0,0,0,0,0,0,1
P12873,rpmC,0,-1,0,0,0,0,0,0,1
P19947,rpmD,0,0,0,0,0,0,0,0,1
P37814,atpF,0,-1,-1,0,1,0,0,0,1
