ProtID,T0,T15,T30,T60,T90,T150,T210,T330
P94356,0,0,0,178,572,0,231,281
P24327,0,114,215,131,0,74,0,274
O32167,946,945,1204,1646,1015,532,555,272
P54542,616,416,1106,1133,853,273,304,272
P23129,700,614,720,615,893,765,517,270
O34833,589,330,276,339,382,185,0,268
O31662,0,0,0,0,0,0,114,266
O32038,0,0,0,0,0,0,169,260
P12047,947,977,943,1010,804,749,122,253
P32727,651,732,697,1513,1241,893,444,249
P37810,1114,818,898,958,930,946,672,248
P54598,393,279,404,322,0,0,0,247
O34538,4467,2430,3179,2323,1681,1507,883,245
P54547,0,0,0,0,0,0,31,245
O05239,742,754,868,1106,776,659,433,242
P20429,2384,1839,2033,1724,2040,1059,675,240
O34962,1479,1625,1764,1514,1443,1104,605,239
O05268,575,951,832,783,743,592,434,239
O31501,713,937,1039,1222,891,703,254,238
P24072,269,258,315,357,549,301,19,236
O32210,0,0,0,0,0,0,0,235
P19946,1436,1239,2126,1735,1254,968,705,233
P50866,207,312,401,479,181,168,119,232
O06997,1558,1177,1845,1291,1051,668,283,231
O31649,2443,1965,2807,2295,1772,1573,736,230
O32213,1275,963,1219,1567,1358,1090,683,0
P39772,0,0,0,0,0,0,0,228
P07343,886,1257,1190,982,1083,697,334,225
O31716,527,668,802,734,596,500,244,225
P11998,349,493,323,496,193,0,45,224
Q45493,283,398,692,602,394,336,154,220
A3F3H1,2093,2247,2786,2347,2031,1677,850,218
Q01465,0,0,0,0,317,0,347,218
P23715,387,184,525,549,297,402,51,217
P54423,0,0,0,0,0,0,0,215
P24141,0,0,0,0,0,0,0,215
P39773,3187,3098,3894,4136,2673,1900,781,212
P07789,1155,792,1177,1525,1116,984,440,211
P45740,4282,3896,4487,4562,2906,2401,1077,207
P80858,0,0,0,0,0,0,40,207
P42921,0,0,0,0,0,0,0,206
P36843,645,387,738,656,231,294,171,205
O30509,0,0,0,0,0,0,0,204
O31669,1453,899,1520,1396,895,689,358,203
P12873,0,0,0,0,308,221,79,203
O31620,613,425,474,464,410,190,168,202
P12046,0,0,0,0,0,0,86,200
P80879,0,0,524,670,541,0,302,200
O32162,1026,841,1435,1304,1219,1085,342,199
P25995,934,1266,1341,1039,607,278,126,197
P21471,0,0,166,141,109,0,103,197
O31618,241,269,457,357,554,289,90,195
Q04796,0,0,0,0,0,0,0,194
O07600,1133,1244,1564,1599,1034,639,202,193
P26900,119,0,0,0,0,0,0,193
O31605,0,0,237,410,139,0,47,192
P54484,2297,1966,2487,2058,1584,1108,535,190
P26899,0,0,0,0,0,0,0,190
P20691,0,0,0,275,508,0,208,189
O32165,167,110,210,186,122,176,0,189
P46336,878,653,1393,1017,1144,1022,239,186
O31663,623,602,745,678,551,464,298,186
Q08788,0,0,0,0,0,0,0,185
P54616,0,0,0,0,0,0,0,185
P37477,684,467,654,829,653,335,40,183
P20277,582,749,638,695,812,513,178,183
P54941,420,602,789,700,646,347,163,182
P00497,113,0,0,0,0,0,0,182
P39215,0,0,0,482,337,0,83,180
P54457,0,0,0,0,0,0,0,180
O32264,0,306,316,0,0,0,0,0
P37252,0,118,0,281,362,226,83,179
P37945,0,0,0,0,0,170,127,179
P16971,558,655,1092,1186,1168,607,268,178
P96619,0,0,0,235,232,0,62,178
P39596,1247,1310,1698,1983,1388,1261,576,0
O07622,0,0,0,0,0,0,66,177
O34526,1114,1207,1688,1384,1083,932,432,176
P37531,911,816,848,938,902,519,272,175
P42085,3196,2979,3329,2524,1349,1375,985,174
P21466,0,0,0,614,489,0,107,174
P39738,1177,807,1248,913,657,522,195,173
P54519,0,0,0,0,0,0,0,173
P80865,0,0,339,371,0,0,201,172
P40746,0,237,130,352,0,59,0,172
P39142,1436,1248,1645,1713,1840,981,521,0
O32214,799,554,659,933,512,626,288,171
P38422,0,0,321,318,299,336,85,171
P42924,1399,1486,1698,1648,1447,1070,346,170
O31766,282,270,309,359,228,153,69,170
P42060,1944,1724,1920,1656,1915,1432,811,169
O31764,628,690,1174,923,432,411,145,169
P81101,1646,1429,1753,1950,1324,983,579,167
P71012,855,873,795,777,542,220,354,166
P94377,536,435,690,823,596,523,241,165
P55179,2155,2459,2664,2438,2535,1762,888,164
P18186,647,538,557,818,768,579,385,164
Q45065,0,0,0,0,0,0,0,164
P21477,581,417,693,663,651,479,235,163
P80862,478,302,439,259,242,168,116,163
P42199,113,98,364,428,120,0,69,163
O32047,1030,996,1240,1166,987,736,366,161
P80864,658,635,645,675,441,465,320,161
P08874,490,885,608,784,714,400,416,161
O07542,160,0,591,654,548,381,151,160
P80244,350,295,341,517,230,133,47,158
P15874,966,867,1185,1250,687,583,422,157
P68729,408,367,384,287,270,158,53,157
O07608,0,0,0,0,0,0,0,157
O34384,546,523,593,448,0,208,158,156
P39120,0,0,0,0,0,0,151,156
O32157,284,0,299,208,248,0,46,155
P22250,0,0,0,0,0,0,0,155
O32076,894,1058,1284,857,832,484,221,154
O32174,767,910,1008,882,1029,828,431,154
P35163,587,412,395,427,493,0,193,0
O06996,0,0,132,0,195,0,132,0
P36430,2741,1665,2783,2301,1674,1760,958,151
O31796,1149,1306,1493,1579,698,823,281,151
P54381,682,604,636,779,678,555,292,0
P04948,597,518,468,646,699,458,294,151
P14193,0,0,0,0,0,0,0,150
P46914,372,418,636,402,287,308,166,147
P40397,3071,3259,3973,3670,2925,1936,761,146
P13800,1171,1188,1132,1270,840,668,322,144
P39576,0,0,0,0,0,0,0,144
A3F3G4,0,0,0,0,231,0,102,143
P37464,0,0,0,0,431,0,56,141
P71021,288,414,459,459,316,267,198,140
P40767,0,0,0,0,0,0,116,140
P45743,0,0,0,0,0,0,0,140
O05267,0,0,0,0,0,0,0,140
O34727,1319,1538,1381,1994,1529,907,540,139
P17865,0,0,0,0,0,0,75,139
O31666,0,0,0,0,255,0,164,139
P40871,0,0,0,0,0,0,0,138
P70974,0,0,0,13,0,0,0,138
O31774,1164,1136,1344,1409,796,491,97,137
P54419,0,0,0,293,292,278,131,136
P17922,924,957,1116,1049,886,605,124,135
O34431,684,855,1048,804,662,452,135,134
O34600,2341,1733,2558,2707,2600,1322,867,133
O34824,204,131,368,372,302,0,70,133
P39751,558,520,875,797,805,413,139,132
P53555,0,0,0,0,0,0,0,132
P81102,0,0,0,0,0,0,0,132
P04831,0,0,0,0,230,281,246,131
P34957,51234,30967,13401,3731,2738,2334,681,0
C0SP85,1056,1084,961,1052,664,0,158,130
P25993,0,0,0,0,0,0,0,130
P05652,0,0,156,70,0,0,57,130
Q45477,456,0,445,231,368,0,0,129
P54536,374,522,521,880,572,257,109,129
P16304,184,261,196,159,180,73,0,129
P37105,274,165,337,259,258,230,53,127
Q05873,248,219,0,0,0,0,0,127
P54382,748,763,1124,1090,652,593,323,126
P35137,256,339,474,455,335,364,131,126
P46343,515,563,873,697,633,545,216,125
P94446,0,352,370,397,369,399,122,125
O34529,1275,794,758,775,523,485,142,124
O07605,424,505,584,612,236,335,111,124
O31755,0,0,0,0,145,0,88,124
O34459,944,685,1055,941,702,530,173,123
P20166,0,0,0,0,0,117,138,123
P39610,771,717,713,772,501,329,253,122
P28366,504,452,438,565,635,336,189,122
P40778,351,395,0,336,381,300,133,122
P29072,283,363,0,0,199,0,101,122
Q45538,0,0,0,0,0,0,0,121
P14577,1527,1242,2076,1379,1570,919,599,0
O34499,377,450,567,551,342,390,156,0
P05654,580,439,661,364,345,321,124,116
P08750,0,0,230,0,0,0,0,115
O06746,349,0,455,503,0,0,0,114
A3F3G5,318,335,349,295,247,226,0,0
Q45537,0,0,0,0,295,0,106,114
O34588,534,447,758,656,507,266,0,113
Q04795,428,522,389,628,657,481,0,113
P07790,0,0,0,0,0,125,0,113
P14194,1881,2095,2114,2056,1389,1038,502,112
P46353,1193,782,1376,1236,907,585,573,112
P94521,522,714,918,596,548,319,327,112
O32000,517,515,851,855,639,494,276,112
O32259,0,0,0,0,0,0,0,112
O35022,0,0,0,0,81,0,83,111
P46354,0,0,0,0,0,0,0,110
P42319,717,464,637,625,573,563,272,109
P46341,0,0,0,0,0,0,110,109
P39116,0,0,0,0,0,0,0,109
O34654,0,0,0,0,53,0,0,108
P71088,583,1008,844,704,565,455,335,107
P94425,496,433,444,501,444,291,194,107
P45913,399,328,712,673,589,520,339,106
P12874,0,196,251,0,195,0,0,106
P54475,231,0,259,0,0,0,96,106
O31743,618,488,800,585,544,493,126,104
P20282,0,413,383,490,365,0,0,104
P39778,522,391,459,483,252,214,106,103
P46919,358,414,592,551,567,419,146,103
O32169,0,432,0,657,531,357,81,103
Q02114,0,0,0,0,0,0,128,103
O05495,0,0,0,0,0,0,0,102
O34925,1232,1102,1448,902,856,676,388,0
O31631,317,267,574,476,441,608,377,101
P24281,0,0,0,0,0,0,94,101
O07609,429,515,548,614,399,455,98,100
P12464,853,1056,1089,1348,1289,933,659,99
O34872,526,411,746,686,674,600,186,99
P53558,0,0,189,0,130,78,0,99
P54950,0,0,0,0,0,0,0,99
P37554,0,0,0,0,0,0,0,98
P05649,3432,2006,3119,2021,2068,1069,371,0
O31714,0,220,0,314,244,192,49,97
O07532,148,207,241,241,266,175,56,96
P25971,0,0,0,0,0,0,0,96
O07603,0,0,152,497,372,254,32,96
O34399,0,0,0,0,0,0,0,95
O34577,0,0,0,0,0,0,0,95
P54420,0,0,0,0,0,0,66,95
P16450,0,0,0,0,0,0,0,95
O06477,1070,1047,922,1039,859,502,333,94
P12040,0,0,0,0,0,0,0,94
P40780,0,0,0,0,109,0,64,94
C0SPB0,425,432,455,498,601,259,174,93
C0SP93,331,514,622,647,683,426,301,93
P50620,0,477,471,483,188,0,0,92
P25144,0,0,0,0,0,0,36,92
P14802,610,565,1015,767,752,778,224,91
O34912,451,547,649,815,677,428,304,90
P46906,0,0,0,0,125,133,67,90
Q04805,1180,1358,1470,1361,907,781,288,89
P20964,640,916,884,812,1277,654,235,89
P05653,528,648,606,665,604,376,150,88
P12875,493,483,547,450,438,264,0,88
O34628,361,393,345,505,255,0,0,88
Q06752,347,372,548,645,423,257,180,88
P49787,204,420,0,550,683,394,200,88
P16524,0,257,337,502,310,0,63,88
P21473,0,0,0,0,171,47,34,88
O08394,86,69,46,329,112,65,0,86
Q05852,455,858,800,787,1000,597,245,85
O32164,429,381,444,488,462,207,188,85
P12041,404,459,858,624,408,0,110,84
P80240,0,0,119,276,177,0,60,84
P18159,888,732,867,519,690,527,304,83
P71019,506,446,720,356,436,0,0,83
O31742,340,540,524,661,371,286,173,83
P42974,330,356,496,403,304,263,158,83
P80238,955,548,880,836,683,436,242,82
P06224,577,481,674,538,490,341,304,82
P54550,558,814,765,804,546,0,76,82
P71079,431,456,627,359,566,152,171,82
P13242,566,601,483,551,273,104,27,81
P17921,874,561,994,670,704,505,158,80
O34454,225,396,403,428,331,148,67,80
O31749,510,428,581,513,499,374,185,79
P08164,366,306,344,445,179,0,200,79
P54524,184,126,191,384,380,321,204,79
P26908,981,952,959,1198,766,808,323,0
P24136,0,0,0,0,373,459,261,77
P46323,231,295,412,452,0,0,164,77
P23446,233,0,357,245,265,0,104,75
Q03523,0,0,0,0,0,0,0,75
P37814,0,0,0,0,0,0,0,75
O31908,280,300,429,258,215,144,0,74
Q795U4,0,0,0,0,0,0,0,74
O34667,846,823,1167,1136,894,665,449,73
