gene,t30,t60,t90,t120,t150
folB,0,1,1,1,1
folK,0,1,1,1,1
folEA,1,1,1,1,1
pabB,0,1,1,1,1
sul,0,1,1,1,1
panB,0,1,1,1,1
panC,0,1,1,1,1
panD,0,1,1,1,1
coaA,0,1,1,1,1
cspB,0,1,1,1,1
cspC,0,1,1,1,1
cspD,0,1,1,1,1
hfq,0,0,1,1,1
ptsI,1,1,1,1,1
ptsH,1,1,1,1,1
ptsG,1,1,1,1,1
pgi,1,1,1,1,1
pfkA,1,1,1,1,1
fbaA,1,1,1,1,1
tpiA,1,1,1,1,1
gapA,1,1,1,1,1
gapB,1,1,1,1,1
pgk,1,1,1,1,1
pgm,1,1,1,1,1
eno,1,1,1,1,1
pyk,1,1,1,1,1
pdhA,1,1,1,1,1
pdhB,1,1,1,1,1
pdhC,1,1,1,1,1
pdhD,1,1,1,1,1
citZ,1,1,1,1,1
citB,1,1,1,1,1
icd,1,1,1,1,1
citG,1,1,1,1,1
mdh,0,1,1,1,1
odhA,0,0,1,1,1
odhB,0,0,1,1,1
sucC,0,0,1,1,1
sucD,0,0,1,1,1
sdhA,0,0,1,1,1
sdhB,0,0,1,1,1
zwF,1,1,1,1,1
gndA,1,1,1,1,1
ywjH,1,1,1,1,1
tkt,1,1,1,1,1
ywlF,0,1,1,1,1
rpe,0,1,1,1,1
ackA,1,1,1,1,1
pta,1,1,1,1,1
bdhA,1,1,1,1,1
rex,0,1,1,1,1
alsD,0,0,1,1,1
ldh,0,0,0,1,1
pckA,0,0,0,0,1
rocA,1,1,1,1,1
ycgN,1,1,1,1,1
hutG,1,1,1,1,1
hutI,1,1,1,1,1
bcd,1,1,1,1,1
argI,1,1,1,1,1
ansA,0,1,1,1,1
ansB,0,1,1,1,1
ald,0,1,1,1,1
lpdV,0,0,1,1,1
bkdAB,0,0,1,1,1
gcvPB,0,0,0,0,1
gcvT,0,0,0,0,1
malS,1,1,1,1,1
ytsJ,1,1,1,1,1
mleA,1,1,1,1,1
maeA,1,1,1,1,1
iolA,0,0,1,1,1
iolC,0,0,1,1,1
iolD,0,0,1,1,1
iolE,0,0,1,1,1
iolH,0,0,1,1,1
iolS,0,0,1,1,1
rbsA,1,1,1,1,1
rbsD,1,1,1,1,1
rbsK,1,1,1,1,1
glpK,0,0,0,0,1
glpD,0,0,0,0,1
glpF,0,0,0,0,1
galE,0,1,1,1,1
kduI,0,1,1,1,1
fruK,0,0,1,1,1
gntZ,0,0,1,1,1
glcK,0,0,0,0,1
fruA,0,1,1,1,1
mtlA,0,0,1,1,1
mtlF,0,0,0,1,1
papA,1,1,1,1,1
papB,1,1,1,1,1
oppA,1,1,1,1,1
oppF,1,1,1,1,1
pepT,1,1,1,1,1
drm,1,1,1,1,1
cdd,0,1,1,1,1
ndk,0,1,1,1,1
pdp,0,0,1,1,1
yosS,0,0,1,1,1
ysnA,0,0,1,1,1
ppaC,1,1,1,1,1
speB,0,1,1,1,1
speD,0,1,1,1,1
speE,0,1,1,1,1
fadB,0,0,0,0,1
metP,0,1,1,1,1
metN,0,1,1,1,1
metQ,0,1,1,1,1
alsT,0,0,0,0,1
glnA,1,1,1,1,1
glyA,1,1,1,1,1
serA,0,1,1,1,1
dapA,1,1,1,1,1
asd,0,1,1,1,1
dapH,0,1,1,1,1
lysA,0,1,1,1,1
ytjP,0,0,1,1,1
hom,0,0,0,0,1
metK,1,1,1,1,1
yxjG,0,0,1,1,1
luxS,0,0,1,1,1
mtnB,0,0,0,0,1
mtnD,0,0,0,0,1
mtnK,0,0,0,0,1
metC,0,0,0,0,1
metI,0,0,0,0,1
yxjH,0,0,0,0,1
hisC,0,0,0,0,1
carB,0,1,1,1,1
artQ,0,1,1,1,1
argC,0,1,1,1,1
aroA,0,1,1,1,1
mtrB,0,0,1,1,1
aroB,0,0,1,1,1
aroD,0,0,1,1,1
aroH,0,0,1,1,1
aspB,0,1,1,1,1
asnB,0,0,0,0,1
cysK,0,1,1,1,1
azlD,0,0,0,0,1
crh,0,0,1,1,1
hprK,0,0,1,1,1
mgsA,0,1,1,1,1
ccpA,0,0,0,0,1
yqhS,0,0,1,1,1
ysdC,1,1,1,1,1
rnr,1,1,1,1,1
pnpA,1,1,1,1,1
rnjA,1,1,1,1,1
rnjB,1,1,1,1,1
nrnB,1,1,1,1,1
nrnA,0,1,1,1,1
yhaM,0,0,1,1,1
ndoA,0,0,1,1,1
rny,0,0,0,0,1
gtaB,1,1,1,1,1
pgcA,1,1,1,1,1
accA,0,1,1,1,1
accB,0,1,1,1,1
accC,0,1,1,1,1
accD,0,1,1,1,1
