locus_tag,gene,Tminus30,Tminus15,T0,T15,T30,T60,T150,T330,Tminus30_Tminus15,Tminus15_T0,T0_T15,T15_T30,T30_T60,T60_T150,T150_T330
BSU03040,amyE,-1.116343006,-0.985755033,-1.264296302,0.201879418,0.509934474,1.32832492,1.008748758,0.317506772,0,0,1,0,0,0,0
BSU40320,argI,-1.133574472,-0.837194674,-1.172926208,-0.207928965,0.383506721,1.548439597,0.8558497,0.5638283,0,0,1,0,1,0,0
BSU40330,rocE,-1.058086088,-0.980764037,-1.105055702,-0.150151566,0.385234828,1.617398553,0.841403335,0.450020677,0,0,1,0,1,0,0
BSU10530,ntdC,-1.157664003,-0.295348397,-1.442857881,0.169779988,0.025903317,1.607477736,0.920691954,0.172017286,0,0,1,0,0,0,0
BSU10540,ntdB,-1.174595948,-0.410008734,-1.618906098,0.251485554,0.151969289,1.222038409,0.846337033,0.731680495,0,0,1,0,0,0,0
BSU14470,mreBH,-1.181600309,-0.921372279,-1.147477943,0.277891875,0.748443996,1.61339365,0.380416308,0.230304703,0,0,1,0,0,0,0
BSU23900,yqjF,-0.965779201,-0.711732898,-1.302759016,0.454040329,-0.169663237,1.766217558,0.66094267,0.268733797,0,0,1,0,0,0,0
BSU13970,ykwD,-1.176336282,-0.870027464,-1.148769805,0.452582349,0.602047655,1.519400735,0.795761665,-0.174658853,0,0,1,0,0,0,0
BSU31820,yuzF,-1.155754915,-1.041597223,-1.064972411,0.404730874,0.52114807,1.53513969,0.80810708,-0.006801164,0,0,1,0,0,0,0
BSU19280,yocN,-1.075292497,-0.931841027,-1.329845204,0.372952603,0.612606077,1.445776985,0.762809,0.142834063,0,0,1,0,0,0,0
BSU06580,yerC,-1.141912751,-1.031246235,-1.184305919,0.25435677,0.233422173,1.443065261,0.640023167,0.786597535,0,0,1,0,1,0,0
BSU23030,ypbB,-1.197838358,-0.885279019,-1.272701058,0.180693457,0.388535778,1.432114821,0.74735453,0.60711985,0,0,1,0,0,0,0
BSU18110,ynfC,-1.232605838,-0.914375804,-1.109117262,-0.045993389,0.801956712,1.382111562,0.901055465,0.216968554,0,0,1,0,0,0,0
BSU23328,ypzJ,-1.114938389,-0.953450702,-1.22182305,-0.101046517,0.593220465,1.41930307,0.807678992,0.57105613,0,0,1,0,0,0,0
BSU02480,gudP,-1.057315098,-0.847424821,-1.361757663,0.502323871,0.751431788,1.540001815,0.304362056,0.168378051,0,0,1,0,0,0,0
BSU29620,hisJ,-1.182900554,-0.959620678,-1.242147744,0.074415158,0.453262368,1.290947331,0.911798845,0.654245274,0,0,1,0,0,0,0
BSU14420,ykoA,-1.211616709,-0.847949179,-1.186195456,0.339471808,0.61566684,1.640189902,0.395453098,0.254979696,0,0,1,0,0,0,0
BSU10410,yhzC,-1.115778347,-0.968031867,-1.136497779,-0.119591408,1.017425213,1.226979388,0.978639943,0.116854856,0,0,1,1,0,0,-1
BSU27800,yrzH,-1.194136384,-0.701656166,-1.356259273,-0.124362588,0.72114492,1.369319813,0.593519726,0.692429952,0,0,1,0,0,0,0
BSU39040,yxiS,-1.200616477,-0.539411575,-1.223915873,-0.152812896,0.028150767,1.322469574,1.350452509,0.415683973,0,0,1,0,0,0,0
BSU23320,ypzC,-1.07586905,-0.745769052,-1.163690277,-0.335761367,0.691128279,1.5997202,0.870058656,0.160182611,0,0,1,0,0,0,0
BSU13190,ispA,-1.172288524,-0.983941269,-1.23247581,0.16828112,0.44209006,1.393582313,0.776040716,0.608711394,0,0,1,0,0,0,0
BSU33080,liaR,-1.192965592,-1.014134182,-1.036596104,0.013262297,0.658418228,1.602313891,0.448984641,0.520716821,0,0,1,0,0,0,0
BSU33090,liaS,-1.146240012,-0.93775002,-1.223236602,0.136203003,0.783660271,1.515080486,0.466708473,0.405574401,0,0,1,0,0,0,0
BSU06650,sapB,-1.193901924,-0.791392682,-1.210327316,0.147676682,0.398598664,1.537154678,0.956960264,0.155231633,0,0,1,0,1,0,0
BSU07340,yfnA,-1.082218454,-0.898243571,-1.185853383,-0.006443644,0.390689387,1.65491217,0.774597043,0.352560451,0,0,1,0,1,0,0
BSU33120,liaH,-0.850625057,-0.622782553,-0.906497985,-0.425358011,0.729006307,2.052719132,0.276842485,-0.253304319,0,0,0,0,1,-1,0
BSU24010,bmr,-1.146875139,-0.860096816,-1.280365653,0.420501098,0.393182538,1.602238303,0.55256412,0.318851549,0,0,1,0,0,0,0
BSU33130,liaI,-0.838136107,-0.649961098,-0.88817614,-0.484879587,0.762216916,2.009453375,0.382552141,-0.293069499,0,0,0,1,1,-1,-1
BSU05870,gmuF,-1.25342801,-0.848650176,-1.25926377,0.005699224,0.662842488,1.318894654,0.698823377,0.675082214,0,0,1,0,0,0,0
BSU02060,ybxG,-1.037698699,-0.859981734,-1.121142649,-0.256177034,0.188864354,1.664825818,0.858387147,0.562922796,0,0,1,0,1,0,0
BSU34660,yvdB,-1.089592165,-0.847162259,-1.372081844,0.235149529,0.249110697,1.400713438,0.956322895,0.467539709,0,0,1,0,0,0,0
BSU31130,yubD,-1.147032063,-1.060482434,-1.132650506,0.34545762,0.18379105,1.49517133,0.764050199,0.551694804,0,0,1,0,1,0,0
BSU35040,yvnB,-1.177324479,-0.727125587,-1.371387073,0.305245231,0.036662209,1.373861056,0.832821123,0.72724752,0,0,1,0,0,0,0
BSU13280,ykoJ,-1.101019234,-0.7736739,-1.283742073,-0.07609489,0.423144103,1.519779124,0.971761659,0.319845211,0,0,1,0,0,0,0
BSU36680,ywmF,-0.633749516,0.038573273,-1.746120682,0.462131836,-0.217343751,1.631762173,0.740551233,-0.275804567,0,0,1,0,0,0,0
BSU03030,ycgB,-1.064956789,-0.926018615,-1.289587363,-0.094883038,0.468037873,1.236284138,1.145830261,0.525293533,0,0,1,0,0,0,0
BSU31830,yueE,-1.170928644,-0.830308584,-1.372681781,0.411913586,0.528435319,1.364600752,0.828473496,0.240495856,0,0,1,0,0,0,0
BSU33380,yvgL,-1.141410781,-0.843913582,-1.051404496,-0.005179435,0.603341431,1.818300474,0.402085251,0.218181138,0,0,1,0,0,0,0
BSU33390,yvgM,-1.09656469,-0.744529272,-1.231848393,-0.150113422,0.718007029,1.667941994,0.584834906,0.252271849,0,0,1,0,1,0,0
BSU32550,yurJ,-1.164581001,-0.734644851,-1.313934657,0.130427731,0.048298441,1.44863954,0.827179554,0.758615244,0,0,1,0,0,0,0
BSU40000,yxnA,-1.128592867,-0.929139891,-1.066340506,0.576734919,0.008730171,0.833952258,1.64124921,0.063406704,0,0,1,0,0,0,0
BSU40660,yybF,-1.113138836,-0.757532736,-1.223603436,0.17554611,0.118345326,1.348781843,1.347191408,0.104410322,0,0,1,0,0,0,0
BSU18880,yobE,-1.138728859,-0.994083382,-1.232621148,0.16696658,0.971415396,1.28786498,0.71917529,0.220011143,0,0,1,0,0,0,0
BSU05180,ydeF,-1.110422489,-1.000068133,-1.279581902,0.32944433,0.504525559,1.478153904,0.523314202,0.554634528,0,0,1,0,0,0,0
BSU10880,yisV,-1.097309711,-0.537855356,-1.627817027,0.239546689,0.70141532,1.352795567,0.546719995,0.422504523,0,0,1,0,0,0,0
BSU19340,yocR,-1.139852798,-0.969215725,-1.162841973,0.060044784,0.80482657,1.539606834,0.508533373,0.358898934,0,0,1,0,0,0,0
BSU29630,yttP,-1.178980307,-1.007430811,-1.256476966,0.325361871,0.573962065,1.320102574,0.823817462,0.399644113,0,0,1,0,0,0,0
BSU27110,yrhO,-1.288169212,-0.655590088,-1.347948834,0.308674765,0.509591415,1.499568695,0.397574152,0.576299107,0,0,1,0,0,0,0
BSU38880,yxjO,-1.269249315,-0.708996637,-1.350326096,0.30349822,0.398483008,1.459730192,0.56834047,0.598520158,0,0,1,0,0,0,0
BSU_MISC_RNA_13,BSU_MISC_RNA_13,-1.157888158,-0.958673395,-1.224547664,0.239753692,0.941913814,1.399877666,0.534561926,0.22500212,0,0,1,0,0,-1,0
BSU_MISC_RNA_56,BSU_MISC_RNA_56,-1.065023371,-0.846744864,-1.137463089,-0.240898835,0.947840303,1.566433591,0.656071676,0.119784589,0,0,1,0,0,0,0
BSU38600,licR,-1.173423197,-0.982865202,-1.284419033,0.172383525,0.612473512,1.265260559,0.827066562,0.563523274,0,0,1,0,0,0,0
BSU38070,sacT,-1.134699221,-0.3755496,-1.702429889,0.23931008,0.608658412,1.280431525,0.637226777,0.447051917,0,0,1,0,0,0,0
BSU36020,alsR,-1.239502302,-0.66953599,-1.34548935,0.256689753,0.279364166,1.533334136,0.530567562,0.654572024,0,0,1,0,0,0,0
BSU17610,xylB,-0.934058677,-0.811252446,-1.05927451,0.058144912,1.004627692,1.822353529,0.032076028,-0.112616528,0,0,1,0,0,0,0
BSU06033,ydzT,-0.928308805,-1.281139694,-1.217704683,0.175785197,0.620806955,0.963502912,1.2076535,0.459404619,0,0,1,0,0,0,0
BSU15570,cysH,-1.017553205,-0.854704007,-1.079611925,-0.445872104,0.477405619,0.26053632,1.194545983,1.46525332,0,0,1,1,0,1,0
BSU15600,cysC,-0.861896678,-0.650878442,-0.947160545,-0.631091358,0.039401353,0.049974978,1.380204935,1.621445757,0,0,1,0,0,1,0
BSU11240,carB,-0.631121457,-0.463233928,-0.718792692,-0.498146772,-0.561595446,-0.325106405,1.808296978,1.389699721,0,0,0,0,0,1,0
BSU11230,carA,-0.629912264,-0.505395147,-0.690540656,-0.500411854,-0.534970291,-0.333781636,1.84130309,1.353708758,0,0,0,0,0,1,0
BSU29440,argH,-0.845011903,-0.680377596,-0.872909144,-0.184332309,-0.201533533,-0.311178809,1.770235532,1.325107763,0,0,1,0,0,1,0
BSU29450,argG,-0.817729305,-0.654548583,-0.869580583,-0.20330338,-0.219461,-0.361033527,1.707759287,1.417897091,0,0,1,0,0,1,0
BSU12800,xhlB,-0.641020091,-0.595528196,-0.62007555,-0.503079909,-0.507640087,-0.359205508,1.56418826,1.66236108,0,0,0,0,0,1,0
BSU13180,metE,-0.755598726,-0.578020053,-0.808454841,-0.652194468,-0.489785539,0.217328513,1.418289737,1.648435378,0,0,0,0,1,1,0
BSU08610,yfhO,-0.742085194,-0.69620595,-0.899834765,-0.332347403,-0.599055589,0.251967102,1.322696486,1.694865312,0,0,1,0,1,1,0
BSU12649,ykzM,-0.631772598,-0.576364315,-0.579010777,-0.479767718,-0.567356693,-0.370662385,1.369926636,1.83500785,0,0,0,0,0,1,0
BSU12640,xkdJ,-0.679732706,-0.680144832,-0.558398751,-0.380519645,-0.548269383,-0.339024262,1.340416687,1.845672893,0,0,0,0,0,1,0
BSU12790,xhlA,-0.709342152,-0.700330728,-0.651884285,-0.419250503,-0.355982179,-0.364317301,1.49412851,1.706978636,0,0,0,0,0,1,0
BSU23960,artR,-1.021174466,-0.843660511,-1.052170758,0.06749275,0.367962507,-0.242143904,1.701358204,1.022336178,0,0,1,0,-1,1,-1
BSU23970,artQ,-0.970682782,-0.809712375,-1.047382791,0.065616929,0.337264465,-0.36842645,1.67053414,1.122788864,0,0,1,0,-1,1,0
BSU23980,artP,-1.025283121,-0.830561826,-1.105230118,0.173724917,0.43391114,-0.341073639,1.537569621,1.156943028,0,0,1,0,-1,1,0
BSU11010,yitJ,-0.759894221,-0.550830216,-0.868466172,-0.625114197,-0.393749991,0.09930413,1.485667468,1.613083198,0,0,0,0,0,1,0
BSU18550,yoaC,-0.778185922,-0.591740279,-0.81719275,-0.611986279,-0.492042256,0.222233231,1.560229023,1.50868523,0,0,0,0,0,1,0
BSU29430,ytzD,-0.812575389,-0.504684828,-0.932485461,-0.221234176,-0.314293629,-0.328091743,1.795004427,1.318360799,0,0,1,0,0,1,0
BSU06040,ydiM,-0.938807283,-0.845631898,-1.059406147,-0.3048778,0.073986954,0.284852946,1.718914019,1.07096921,0,0,1,0,0,0,0
BSU13560,mtnK,-0.787562547,-0.615996896,-0.809682064,-0.668103283,-0.403036343,0.223893402,1.565506421,1.49498131,0,0,0,0,0,1,0
BSU13550,mtnA,-0.793556394,-0.612675561,-0.816269997,-0.712854423,-0.399158012,0.31632144,1.56525723,1.452935718,0,0,0,0,0,1,0
BSU33420,nhaK,-0.857749335,-0.706759196,-0.86891329,-0.420490592,-0.486306111,0.348624716,1.502327475,1.489266332,0,0,1,0,1,1,0
BSU11210,argB,-0.674515799,-0.550411955,-0.780068979,-0.550563951,-0.443227624,-0.176589373,1.762761108,1.412616573,0,0,0,0,0,1,0
BSU11190,argC,-0.707065765,-0.47015521,-0.737893238,-0.501534984,-0.514748102,-0.244880651,1.826556003,1.349721948,0,0,0,0,0,1,0
BSU11220,argD,-0.681062729,-0.505320535,-0.740966283,-0.499261568,-0.515938627,-0.248353112,1.773929892,1.416972962,0,0,0,0,0,1,0
BSU18540,yoaB,-0.722716903,-0.594657678,-0.80392153,-0.626894862,-0.574997142,0.265451982,1.595253043,1.46248309,0,0,0,0,1,1,0
BSU11200,argJ,-0.706137398,-0.594316606,-0.744577877,-0.517201237,-0.432825673,-0.182560976,1.757576221,1.420043545,0,0,0,0,0,1,0
BSU11250,argF,-0.666985981,-0.493179558,-0.696890776,-0.478798583,-0.512282414,-0.333324332,1.875872285,1.30558936,0,0,0,0,0,1,-1
BSU15630,sirC,-0.875587083,-0.792559337,-0.864661299,-0.590529771,-0.076738492,0.233237648,1.329342986,1.637495348,0,0,0,0,0,1,0
BSU15650,yloB,-0.875371424,-0.38329446,-1.153863858,0.040488584,-0.387343943,-0.200731658,1.178151971,1.781964787,0,0,1,0,0,1,0
BSU18560,yoaD,-0.767814636,-0.52395258,-0.82914853,-0.63885735,-0.457758966,0.113402743,1.54515416,1.558975159,0,0,0,0,0,1,0
BSU09080,yhcH,-0.793966026,-0.653859088,-0.930118485,-0.335743838,-0.429952785,0.066203365,1.397844677,1.679592182,0,0,1,0,0,1,0
BSU39480,yxeO,-0.746552556,-0.495471363,-0.807588298,-0.526135735,-0.444662588,-0.149505829,1.475669487,1.694246881,0,0,0,0,0,1,0
BSU39500,yxeM,-0.709460445,-0.5821795,-0.798525389,-0.65104777,-0.297483617,-0.100397883,1.381540378,1.757554226,0,0,0,0,0,1,0
BSU09090,yhcI,-0.783626022,-0.587063408,-0.992275648,-0.415087827,-0.454140358,0.19034011,1.432978225,1.608874927,0,0,1,0,0,1,0
BSU39490,yxeN,-0.770066497,-0.6664785,-0.791073458,-0.548158988,-0.317755621,-0.029797316,1.39273375,1.730596629,0,0,0,0,0,1,0
BSU09070,yhcG,-0.985707602,-0.877018054,-1.061466005,0.083826507,-0.163070767,0.152267947,1.350998862,1.500169112,0,0,1,0,0,1,0
BSU39510,yxeL,-0.82601595,-0.614922966,-0.864958319,-0.617966222,-0.1442374,-0.015281305,1.409646539,1.673735624,0,0,0,0,0,1,0
BSU39470,yxeP,-0.719116554,-0.597920953,-0.76195837,-0.569421785,-0.448563085,-0.068273292,1.531374988,1.633879051,0,0,0,0,0,1,0
BSU07750,yflA,-0.860673329,-0.646932732,-0.907374695,-0.073358176,-0.70297531,0.343867749,1.839423934,1.008022558,0,0,1,0,0,0,0
BSU39460,yxeQ,-0.663696496,-0.574313239,-0.7270993,-0.519532569,-0.568676093,-0.131760263,1.497750502,1.687327458,0,0,0,0,0,1,0
BSU39450,yxeR,-0.907484166,-0.747468458,-0.926986023,-0.363888836,-0.277772432,0.256851219,1.280746329,1.686002369,0,0,1,0,1,1,0
BSU12400,yjnA,-0.866714568,-0.747763237,-0.973588347,-0.643799431,0.42041024,-0.065709944,1.498588518,1.378576769,0,0,0,1,0,1,0
BSU39520,yxeK,-0.783717926,-0.618062798,-0.782650266,-0.550209205,-0.185069419,-0.226852848,1.411459713,1.73510275,0,0,0,0,0,1,0
BSU09060,yhcF,-1.060918299,-0.786295935,-1.026981144,0.219548423,-0.229381542,0.029783119,1.312148735,1.542096643,0,0,1,0,0,0,0
BSU33530,iolW,-0.757841195,-0.632791504,-0.780470723,-0.557299264,-0.63906719,0.356590146,1.641955131,1.368924599,0,0,0,0,1,1,0
BSU15620,sirB,-0.927115438,-0.785220769,-1.033481508,-0.450506227,0.030527374,0.278139794,1.392491588,1.495165186,0,0,1,0,0,1,0
BSU09130,tcyP,-1.020281119,-0.715371787,-1.088399958,0.035535191,0.074710214,-0.151614302,1.180220309,1.685201452,0,0,1,0,0,1,0
