locus_tag,gene,rSS_average
BSU04900,yddA,1.017238219
BSU04910,yddB,0.8963841
BSU04920,yddC,0.9036841
BSU04930,yddD,1.008985895
BSU04940,yddE,0.781232382
BSU04950,yddF,1.087330125
BSU04960,yddG,0.984057658
BSU04970,yddH,1.051761454
BSU04980,yddI,1.008266821
BSU04990,yddJ,0.805535042
BSU05000,yddK,1.021089713
BSU05010,rapI,1.096116501
BSU05020,phrI,0.02853253
BSU05030,yddM,0.967640589
BSU05040,yddN,1.016593709
BSU05050,lrpA,0.859036913
BSU05060,lrpB,0.971927554
BSU05070,yddQ,0.995179892
BSU05080,yddR,1.094871874
BSU05090,yddS,1.0382974
BSU05099,ydzM,1.009733066
BSU05100,yddT,1.002380346
BSU05109,ydzN,1.0889898
BSU05110,ydeA,1.039488964
BSU05120,cspC,0.878426617
BSU05130,ydeB,1.168959578
BSU05140,ydzE,1.006177439
BSU05150,ydeC,1.021791561
BSU05160,ydeD,1.083950642
BSU05170,ydeE,1.114990488
BSU05180,ydeF,1.196411562
BSU05190,ydeG,0.835138409
BSU05200,ydeH,0.948558339
BSU05210,ydeI,1.163067901
BSU05220,ydeJ,1.087796251
BSU05230,ydeK,1.067405592
BSU05240,ydeL,1.127592869
BSU05250,ydeM,0.905674885
BSU05260,ydeN,0.874997669
BSU05270,ydzF,1.061286393
BSU05280,ydeO,1.100202956
BSU05290,ydeP,0.809221057
BSU05300,ydeQ,0.980258304
BSU05310,ydeR,1.080864924
BSU05320,ydeS,1.177785736
BSU05329,ydzO,0.983575218
BSU05330,aseR,0.918651146
BSU05340,ydfA,0.99938959
BSU05343,ydzS,0.975909888
BSU05344,ydzS,0.859771233
BSU05350,ydfB,1.156582384
BSU05360,ydfC,0.887489983
BSU05370,ydfD,1.072363542
BSU05380,ydfE,1.087977795
BSU05390,ydfF,1.042001096
BSU05400,ydfG,1.035813721
BSU05408,ydzP,1.026108512
BSU05409,ydzQ,1.105052479
BSU05410,ydfH,1.375239579
BSU05420,ydfI,1.002226446
BSU05430,ydfJ,1.084202862
BSU05440,nap,0.851499353
BSU05450,ydfK,0.838649215
BSU05460,ydfL,1.057505538
BSU05470,ydfM,0.764518859
BSU05480,ydfN,1.054295415
BSU05490,ydfO,0.861979144
BSU05500,ydfP,0.878724186
BSU05510,ydfQ,0.895623058
BSU05520,ydzH,0.894640839
BSU05529,ydzR,0.948446365
BSU05530,ydfR,0.987824132
BSU05540,ydfS,1.307099176
BSU05550,cotP,1.070066042
BSU05560,ydgA,0.9402204
BSU05570,ydgB,0.79996867
BSU05580,ydgC,0.86315798
BSU05590,ydgD,0.82290635
BSU05600,ydgE,0.695850006
BSU05610,vmlR,0.984252142
BSU05620,ydgF,1.027920988
BSU05630,dinB,0.926526367
BSU05640,ydgG,0.857208816
BSU05650,ydgH,0.971842418
BSU05660,ydgI,0.996936917
BSU05670,ydgJ,0.744196411
BSU05680,ydgK,0.986402124
BSU05690,ydhB,1.035670096
BSU05700,ydhC,0.844536337
BSU05710,ydhD,1.048674034
BSU05720,ydhE,1.043653999
BSU05730,ydhF,1.094367406
BSU05740,phoB,1.149905467
BSU05750,ydhG,1.021806503
BSU05760,ydhH,1.125237506
BSU05770,ydhI,1.061107135
BSU05780,ydhJ,1.071885627
BSU05790,ydhK,0.861993454
BSU05800,pbuE,1.17011286
BSU05810,gmuB,1.128241931
BSU05820,gmuA,0.894518916
BSU05830,gmuC,1.068929942
BSU05840,gmuD,1.03549423
BSU05850,gmuR,0.473307333
BSU05860,gmuE,1.042711386
BSU05870,gmuF,1.034074818
BSU05880,gmuG,1.123588533
BSU05890,ydhU,1.098055444
BSU05899,ydhU,0.91360992
BSU05900,thiL,1.311215232
BSU05930,rimI,0.812019172
BSU05950,ydiF,0.882246176
BSU05960,moaC,1.064303316
BSU05980,tatAY,0.998338363
BSU06000,ydiK,1.006672743
BSU06010,ydiL,1.115173391
BSU06033,ydzT,0.868834041
BSU06034,ydzT,0.982237462
BSU06036,ydzT,1.066898933
BSU06037,ydzT,0.980284782
BSU06038,ydzT,0.988924899
BSU06040,ydiM,0.756545118
BSU06048,ydzU,0.770075603
BSU06049,ydzV,0.645671972
BSU06073,ydzW,0.965502822
BSU06074,ydzW,0.930650803
BSU06076,ydzW,0.944775138
BSU06077,ydzW,1.040424009
BSU06078,ydzW,0.866364596
BSU06079,ydzW,0.926937485
BSU06083,ydzW,1.05663056
BSU06090,ydiR,0.824404954
BSU06100,ydiS,1.000539038
BSU06110,ydjA,0.993992804
BSU06120,ydjB,0.896946911
BSU06130,ydjC,1.103006532
BSU06140,gutR,0.928836715
BSU06150,gutB,0.913157004
BSU06160,gutP,1.092240233
BSU06170,ydjE,0.972144539
BSU06180,pspA,0.94902763
BSU06190,ydjG,1.071386803
BSU06200,ydjH,1.013685584
BSU06210,ydjI,0.95953197
BSU06220,ydjJ,0.975276805
BSU06230,iolT,0.878423479
BSU06240,bdhA,0.980511115
BSU06250,ydjM,0.801299767
BSU06260,ydjN,0.86602192
BSU06269,ydzJ,1.159347215
BSU06270,ydjO,1.084538255
BSU06280,ydjP,0.952637323
BSU06290,yeaA,0.856518759
BSU06300,cotA,0.311891574
BSU06310,gabP,1.075874442
BSU06319,ydzX,0.978101579
BSU06320,yeaB,0.877739843
BSU06330,yeaC,0.969895998
BSU06340,yeaD,1.091750755
BSU06350,yebA,0.959738217
BSU06360,guaA,0.596277672
BSU06370,pbuG,1.105328753
BSU06380,yebC,0.915493928
BSU06390,yebD,0.867815091
BSU06400,yebE,0.980876945
BSU06410,yebG,1.100434901
BSU06420,purE,0.796060204
BSU06430,purK,0.840857682
BSU06450,purC,0.916706104
BSU06460,purS,0.967597005
BSU06470,purQ,0.673257259
BSU06480,purL,0.865331848
BSU06490,purF,0.441341347
BSU06500,purM,1.11309609
BSU06510,purN,1.036779949
BSU06520,purH,1.017665026
BSU06530,purD,0.97533575
BSU06540,yezC,0.862594521
BSU06550,yecA,0.943843759
BSU06559,yezF,0.853443042
BSU06560,yerA,0.797528423
BSU06570,yerB,1.039742056
BSU06580,yerC,0.854451475
BSU06590,yerD,0.925513214
BSU06630,yerH,1.055119726
BSU06640,yerI,0.945336262
BSU06650,sapB,0.824402391
BSU06660,opuE,0.711151842
BSU06700,yerO,0.862179728
BSU06710,swrC,1.106935772
BSU06730,yefA,0.951037833
BSU06740,yefB,1.058647203
BSU06750,yefC,0.530916232
BSU06760,yeeA,0.946902297
BSU06770,yeeB,0.836770469
BSU06790,yeeD,0.986558851
BSU06800,yezA,0.973568602
BSU06812,yeeF,0.926094198
BSU06820,yeeG,1.126268629
BSU06830,rapH,1.003338954
BSU06839,phrH,0.902512302
BSU06840,yeeI,0.823736087
BSU06850,yeeK,0.838191155
BSU06880,yesF,0.956993484
BSU06890,cotJA,0.994464406
BSU06900,cotJB,0.942039343
BSU06910,cotJC,1.0490758
BSU06920,yesJ,0.900603377
BSU06930,yesK,0.998356494
BSU06940,yesL,0.946658532
BSU06950,yesM,1.004932111
BSU06960,yesN,0.954966075
BSU06970,yesO,1.047061858
BSU06980,yesP,1.013833507
BSU06990,yesQ,1.03828106
BSU07000,yesR,1.0437238
BSU07010,yesS,0.983680043
BSU07020,rhgT,0.700462478
BSU07030,yesU,1.080762599
BSU07040,yesV,0.961837974
BSU07050,yesW,0.9453806
BSU07060,yesX,1.000782834
BSU07070,yesY,0.875924085
BSU07080,yesZ,0.887663987
BSU07090,yetA,1.094623506
BSU07100,lplA,0.965778284
BSU07110,lplB,1.014817863
BSU07120,lplC,0.920699537
BSU07130,lplD,0.975044549
BSU07150,yetG,0.921975137
BSU07160,yetH,0.919299642
BSU07170,yetI,0.80470776
BSU07180,yetI,0.877717441
BSU07190,yezD,1.087109164
BSU07200,yetJ,0.883820484
BSU07210,yetK,1.002793294
BSU07220,yetL,1.020339488
BSU07230,yetM,0.767393691
BSU07240,yetN,0.916651953
BSU07250,yetO,1.003384531
BSU07260,ltaSA,0.962957565
BSU07270,yfnH,0.740617424
BSU07280,yfnG,0.998393612
BSU07290,yfnF,0.870843576
BSU07300,yfnE,0.767319158
BSU07310,yfnD,0.849241969
BSU07320,yfnC,0.89092664
BSU07330,yfnB,1.031045646
BSU07340,yfnA,0.976383896
BSU07350,yfmT,0.772143099
BSU07360,yfmS,0.949386926
BSU07370,yfmR,0.844453991
BSU07380,yfmQ,0.984007068
BSU07390,yfmP,0.638085498
BSU07400,yfmO,1.067582742
BSU07410,yfmN,1.049780601
BSU07420,yfmM,0.995772486
BSU07430,yfmL,0.292321024
BSU07440,yfmK,0.977305332
BSU07450,yfmJ,0.995050018
BSU07460,yfmI,1.015685851
BSU07480,yfmG,0.959607934
BSU07490,yfmF,1.099074465
BSU07500,yfmE,0.979976038
BSU07510,yfmD,1.107836188
BSU07520,yfmC,0.995390745
BSU07530,yfmB,0.997893497
BSU07540,yfmA,0.9908471
BSU07550,yflT,0.990255626
BSU07560,pel,1.219545256
BSU07570,yflS,1.018593767
BSU07580,citS,1.078992577
BSU07590,citT,0.910893691
BSU07600,yflP,1.081446705
BSU07610,citM,0.979186913
BSU07620,yflN,1.173477554
BSU07630,nosA,1.069856975
BSU07640,yflL,0.951047605
BSU07650,yflK,1.025009681
BSU07660,yflJ,1.004570036
BSU07670,yflI,0.991435106
BSU07680,yflH,0.941849154
BSU07700,nagP,1.147366616
BSU07720,yflD,1.114823463
BSU07735,yflB,1.193450364
BSU07750,yflA,0.895740387
BSU07760,yfkT,1.032185511
BSU07770,yfkS,0.965281645
BSU07780,yfkR,0.967246275
BSU07790,yfkQ,0.929672487
BSU07800,treP,0.894563655
BSU07810,treA,0.599310776
BSU07820,treR,0.943353142
BSU07830,yfkO,1.050431578
BSU07840,yfkN,1.07904538
BSU07850,yfkM,1.086362524
BSU07860,yfkL,0.973327945
BSU07870,yfkK,0.958212972
BSU07880,yfkJ,1.114127069
BSU07890,yfkI,0.892004662
BSU07900,yfkH,0.944326113
BSU07910,yfkF,0.944034096
BSU07920,yfkE,0.904575467
BSU07930,yfkD,0.934379901
BSU07940,yfkC,1.087713026
BSU07955,yfkA,1.011230845
BSU07970,yfjT,0.899919152
BSU07980,pdaA,1.021430594
BSU07990,yfjR,0.986753487
BSU08000,yfjQ,0.883982785
BSU08010,yfjP,0.884962475
BSU08020,yfjO,0.879790613
BSU08029,yfzA,0.91434954
BSU08030,dusC,0.997698717
BSU08040,yfjM,0.97267605
BSU08050,yfjL,0.997883609
BSU08060,acoA,1.051872699
BSU08070,acoB,0.957440693
BSU08080,acoC,1.040163207
BSU08090,acoL,0.924474239
BSU08100,acoR,0.984809754
BSU08110,sspH,0.970331149
BSU08120,yfjF,0.864231604
BSU08130,yfjE,1.009902319
BSU08140,yfjD,0.654775698
BSU08150,yfjC,1.117222161
BSU08160,yfjB,0.956202397
BSU08170,yfjA,0.774173723
BSU08180,malA,0.43346872
BSU08190,malR,1.070772096
BSU08200,malP,1.164619057
BSU08210,malQ,0.93961067
BSU08220,yfiC,0.642796316
BSU08230,catD,1.21802847
BSU08240,catE,0.987907816
BSU08250,yfiF,1.004657375
BSU08260,yfiG,0.882583736
BSU08270,yfiH,0.9166173
BSU08280,yfiI,0.805525717
BSU08290,yfiJ,0.785380724
BSU08300,yfiK,1.020016552
BSU08310,yfiL,0.987640279
BSU08320,yfiM,0.910372614
BSU08330,yfiN,1.003160174
BSU08340,padR,1.005563027
BSU08350,estB,0.968212195
BSU08360,yfiQ,1.038514141
BSU08370,yfiR,1.035446593
BSU08380,yfiS,0.94883732
BSU08390,yfiT,0.995367286
BSU08400,yfiU,1.060035278
BSU08410,yfiV,0.690374994
BSU08425,mprF,1.022008443
BSU08440,yfiY,0.871378841
BSU08450,yfiZ,0.819420408
BSU08460,yfhA,1.164550491
BSU08470,yfhB,0.769673358
BSU08480,yfhC,0.987245179
BSU08490,yfhD,0.915259615
BSU08500,yfhE,0.954734803
BSU08510,yfhF,0.73243819
BSU08520,recX,0.296776198
BSU08530,yfhH,1.084765464
BSU08540,yfhI,0.922602259
BSU08550,sspK,1.037271259
BSU08560,yfhJ,0.993558354
BSU08570,yfhK,1.00149033
BSU08580,yfhL,1.010222046
BSU08590,yfhM,0.800481617
BSU08600,csbB,1.11616776
BSU08610,yfhO,0.823004353
BSU08620,yfhP,1.061201442
BSU08630,yfhQ,0.855998281
BSU08640,yfhS,0.811284727
BSU08650,fabL,0.664097803
BSU08660,sspE,0.934457881
BSU08670,ygaB,1.201220764
BSU08680,ygaC,1.056100155
BSU08690,ygaD,0.990560624
BSU08700,ygaE,0.894418358
BSU08710,gsaB,0.899875993
BSU08720,ygaF,0.712763682
BSU08730,perR,0.596547939
BSU08740,ygzB,0.700295031
BSU08750,ygxA,1.120567896
BSU08760,spo0M,0.944788469
BSU08770,ygzA,0.981341284
BSU08779,ygzC,1.029390163
BSU08780,ygaJ,1.02705804
BSU08790,thiC,0.949415651
BSU08800,ygaK,1.051377976
BSU08810,senS,1.129331364
BSU08820,katA,0.890974708
BSU08830,ssuB,1.156628877
BSU08840,ssuA,1.163992177
BSU08850,ssuC,1.044658672
BSU08860,ssuD,1.018398013
BSU08870,ygaN,0.917772712
BSU08880,rpsNB,0.974045577
BSU08890,ygaO,0.99118849
BSU08899,ygzD,0.77245736
BSU08900,yhzB,1.048198079
BSU08910,yhbA,0.978177823
BSU08920,yhbB,0.867981694
BSU08930,cspR,1.076050671
BSU08950,yhbE,0.869646301
BSU08960,yhbF,1.050796855
BSU08970,prkA,0.656615944
BSU08980,yhbH,0.522036305
BSU08990,yhbI,0.946681547
BSU09000,yhbJ,1.250595965
BSU09010,yhcA,1.120839041
BSU09020,yhcB,1.124745837
BSU09030,yhcC,1.296293331
BSU09040,yhcD,1.062537671
BSU09050,yhcE,0.571377858
BSU09060,yhcF,0.812433905
BSU09080,yhcH,1.041579155
BSU09090,yhcI,0.908680768
BSU09110,yhcJ,1.040622202
BSU09120,yhcK,1.564133692
BSU09130,tcyP,0.940508984
BSU09140,yhcM,1.016534104
BSU09150,yhcN,0.761619618
BSU09180,yhcQ,1.206100749
BSU09190,yhcR,0.951818702
BSU09200,yhcS,0.883578099
BSU09210,yhcT,1.074701158
BSU09220,yhcU,0.940603369
BSU09230,yhcV,0.846715329
BSU09240,yhcW,0.999892642
BSU09250,yhcX,0.994620006
BSU09260,yhxA,1.175272747
BSU09270,glpP,1.122675745
BSU09280,glpF,0.95366498
BSU09290,glpK,1.071892718
BSU09300,glpD,1.021442285
BSU09310,pgcA,0.416286015
BSU09320,yhcY,0.937809388
BSU09330,yhcZ,1.020631297
BSU09340,yhdA,0.941876979
BSU09350,yhdB,0.937505187
BSU09360,yhdC,0.919723394
BSU09370,lytF,0.921941873
BSU09390,ygxB,0.444870232
BSU09400,spoVR,0.456337058
