BSU24980,pstC,"yzmC,yqgH",13.1,
BSU24090,ptb,"yqiS,bkd",121,
BSU36250,ptkA,ywqD,76.6,
BSU36250,ptkA,ywqD,76.6,
BSU32410,pucH,allB,7.14,
BSU23490,pupG,punA,556,
BSU39980,qodI,Bsubs1_010100021561,7.52,
BSU28390,racE,"glr,murI",45.7,
BSU28040,radC,ysxA,0.96,
BSU29300,rbfK,ribR,4.17,
BSU23150,resA,NA,NA,
BSU33660,rghRA,rghR,53.2,
BSU23260,ribAB,ribBA,69.5,
BSU25430,rimO,"tmtB,yqeV,mtaB",44,
BSU37070,rpmEA,rpmE,1534,
BSU30700,rpmEB,"ytiA,rpmE2",817,
BSU01070,rpoB,rfm,787,
BSU01080,rpoC,std,696,
BSU22880,rpsA,ypfD,2087,
BSU04670,rsbRA,ycxR,91.5,
BSU37360,sboX,NA,NA,
BSU09990,scoC,"hpr,catA",379,
BSU22850,seaA,yphB,4.42,
BSU24610,sinR,"flaD,sin",294,
BSU33770,spbC,sdpC,1122,
BSU23170,spmB,NA,NA,
BSU24410,spoIIIAC,NA,NA,
BSU26390,spoIIIC,"sigK,cisB,sigKC,spoIVCB",3.62,
BSU15330,spoIIIG,sigG,7.92,
BSU41040,spoIIIJ,"yidC1,misCA",227,
BSU25770,spoIVCA,cisA,11.6,
BSU25760,spoIVCB,"sigK,cisB,spoIIIC,sigKC",3.62,
BSU23440,spoVAA,NA,NA,
BSU23400,spoVAE,spoVAEA,9.28,
BSU23390,spoVAF,NA,NA,
BSU16730,spoVFA,dpaA,4.61,
BSU16740,spoVFB,dpaB,29.6,
BSU37840,spsI,rmlA,0.75,
BSU37830,spsJ,rfbB,4.61,
BSU09958,sscA,yhzE,NA,
BSU22290,sspM,NA,NA,
BSU00540,subA,fin,11.8,
BSU35730,tagE,rodD,85.5,
BSU35520,tagV,yvhJ,171,
BSU24640,tapA,"yqhD,yqxM",28.5,
BSU40780,tetL,NA,NA,
BSU36260,tkmA,ywqC,44,
BSU31250,tlpA,BSU31250,101,
BSU41020,trmE,"thdF,mnmE",34.2,
BSU41010,trmF,"gidA,mnmG",176,
