geneP,locus_tag,locus_tag2,gene1,gene3,gene4,gene5
ybfA,BSU02160,,,,,
ybfB,BSU02170,,,,,
ybfE,BSU02180,,,,,
ybfF,BSU02190,,,,,
ybfG,BSU02200,,,,,
ybfH,BSU02210,,,,,
ybfI,BSU02220,,,,,
purT,BSU02230,,,,,
mpr,BSU02240,,,,,
ybfJ,BSU02250,,,,,
ybfK,BSU02260,,,,,
pssA,BSU02270,,pss,,,
ybfM,BSU02280,,,,,
psd,BSU02290,,,,,
ybfN,BSU02300,,,,,
ybfO,BSU02310,,,,,
ybfP,BSU02320,,,,,
trhO,BSU02330,,ybfQ,,,
gltP,BSU02340,,,,,
gamP,BSU02350,,ybfS,yzfA,,
gamA,BSU02360,,ybfT,,,
gamR,BSU02370,,ybgA,,,
ybgB,BSU02380,,,,,
ilvE,BSU02390,,ybgE,,,
ybgF,BSU02400,,,,,
ybgG,BSU02410,,,,,
glnT,BSU02420,,ybgH,,,
glsA1,BSU02430,,glsA,ybgJ,,
glnK,BSU02440,,nrgB,ycbA,yzgA,
glnL,BSU02450,,ycbB,yzgB,,
ycbC,BSU02460,,,,,
gucD,BSU02470,,ycbD,,,
gudP,BSU02480,,ycbE,,,
gudD,BSU02490,,ycbF,,,
ycbG,BSU02500,,,,,
garD,BSU02510,,ycbH,,,
ycbJ,BSU02520,,,,,
rtpA,BSU02530,,yczA,,,
ycbK,BSU02540,,,,,
ycbL,BSU02550,,,,,
ycbM,BSU02560,,,,,
ycbN,BSU02570,,,,,
ycbO,BSU02580,,,,,
ycbP,BSU02590,,,,,
cwlJ,BSU02600,,ycbQ,,,
ycbR,BSU02610,,,,,
yczK,BSU02619,,,,,
phoD,BSU02620,,ycbS,,,
tatAd,BSU02630,,yczB,,,
tatC1,BSU02640,,tatCd,ycbT,,
pcp,BSU02650,,,,,
ycbU,BSU02660,,,,,
lmrB,BSU02670,,yccA,,,
lmrA,BSU02680,,yccB,,,
ansZ,BSU02690,,yccC,,,
estA,BSU02700,,lip,lipA,,
yczC,BSU02710,,,,,
yccF,BSU02720,,,,,
natK,BSU02730,,yccG,,,
natR,BSU02740,,yccH,,,
natA,BSU02750,,,,,
natB,BSU02760,,,,,
yccK,BSU02770,,yzaE,,,
ycdA,BSU02780,,,,,
ycdB,BSU02790,,,,,
ycdC,BSU02800,,,,,
cwlK,BSU02810,,ycdD,,,
rapJ,BSU02820,,ycdE,,,
ycdF,BSU02830,,,,,
ycdG,BSU02840,,,,,
znuA,BSU02850,,adcA,ycdH,,
znuC,BSU02860,,adcC,ycdI,,
znuB,BSU02870,,adcB,yceA,,
yceB,BSU02880,,,,,
yceC,BSU02890,,,,,
yceD,BSU02900,,,,,
yceE,BSU02910,,,,,
yceF,BSU02920,,,,,
yceG,BSU02930,,,,,
yceH,BSU02940,,,,,
naiP,BSU02950,,yceI,,,
yceJ,BSU02960,,,,,
yceK,BSU02970,,,,,
opuAA,BSU02980,,,,,
opuAB,BSU02990,,,,,
opuAC,BSU03000,,,,,
amhX,BSU03010,,,,,
ycgA,BSU03020,,,,,
ycgB,BSU03030,,,,,
amyE,BSU03040,,amyA,,,
ldh,BSU03050,,lctE,,,
lctP,BSU03060,,ycgC,,,
bmr3,BSU03070,,mdr,,,
ycgE,BSU03080,,,,,
ycgF,BSU03090,,,,,
ycgG,BSU03100,,,,,
ycgH,BSU03110,,,,,
ycgI,BSU03120,,,,,
nadE,BSU03130,,outB,,,
tmrB,BSU03140,,,,,
aroK,BSU03150,,aroI,,,
ycgJ,BSU03160,,,,,
ycgK,BSU03170,,,,,
cah,BSU03180,,,,,
ycgL,BSU03190,,,,,
putB,BSU03200,,ycgM,,,
putC,BSU03210,,ycgN,,,
putP,BSU03220,,ycgO,,,
putR,BSU03230,,prcR,ycgP,,
ycgQ,BSU03240,,,,,
ycgR,BSU03250,,,,,
ycgS,BSU03260,,,,,
ycgT,BSU03270,,,,,
nasF,BSU03280,,nasBE,,,
nasE,BSU03290,,nasBD,nirD,,
nasD,BSU03300,,nasBC,nirB,,
nasC,BSU03310,,narB,nasBB,,
nasB,BSU03320,,nasBA,,,
nasA,BSU03330,,,,,
folE2,BSU03340,,yciA,,,
yciB,BSU03350,,,,,
yczL,BSU03359,,,,,
yciC,BSU03360,,,,,
yckA,BSU03370,,,,,
yckB,BSU03380,,,,,
yckC,BSU03390,,,,,
yckD,BSU03400,,,,,
bglC,BSU03410,,yckE,,,
nin,BSU03420,,comJ,,,
nucA,BSU03430,,comI,,,
tlpC,BSU03440,,,,,
hxlB,BSU03450,,yckF,,,
hxlA,BSU03460,,yckG,,,
hxlR,BSU03470,,,,,
srfAA,BSU03480,,srfA,srfA1,,
srfAB,BSU03490,,comL,srfA2,,
comS,BSU03500,,,,,
srfAC,BSU03510,,srfA3,,,
srfAD,BSU03520,,srfA4,,,
ycxA,BSU03530,,,,,
ycxB,BSU03540,,,,,
ycxC,BSU03550,,,,,
ycxD,BSU03560,,,,,
sfp,BSU03570,,lpa-8,,,
yczE,BSU03580,,,,,
tcyC,BSU03590,,yckI,,,
tcyB,BSU03600,,yckJ,,,
tcyA,BSU03610,,yckK,,,
bsdA,BSU03620,,yclA,,,
bsdB,BSU03630,,ubiX,yclB,,
bsdC,BSU03640,,ubiD,yclC,,
bsdD,BSU03651,,,,,
yclD,BSU03652,,,,,
yclE,BSU03660,,,,,
yclF,BSU03670,,,,,
yclG,BSU03680,,,,,
yczF,BSU03690,,,,,
gerKA,BSU03700,,,,,
gerKC,BSU03710,,,,,
gerKB,BSU03720,,,,,
yclH,BSU03730,,,,,
yclI,BSU03740,,,,,
yclJ,BSU03750,,,,,
yclK,BSU03760,,,,,
rapC,BSU03770,,yclL,,,
phrC,BSU03780,,hprC,,,
yczM,BSU03788,,,,,
yczN,BSU03789,,,,,
yclM,BSU03790,,,,,
yclN,BSU03800,,,,,
yclO,BSU03810,,,,,
yclP,BSU03820,,,,,
yclQ,BSU03830,,,,,
ycnB,BSU03840,,,,,
ycnC,BSU03850,,,,,
nfrA2,BSU03860,,ycnD,,,
ycnE,BSU03870,,,,,
yczG,BSU03880,,,,,
gabR,BSU03890,,ycnF,,,
gabT,BSU03900,,ycnG,,,
gabD,BSU03910,,ycnH,,,
glcU,BSU03920,,ycxE,,,
gdh,BSU03930,,,,,
ycnI,BSU03940,,,,,
ycnJ,BSU03950,,,,,
ycnK,BSU03960,,,,,
ycnL,BSU03970,,,,,
mtlA,BSU03981,,,,,
mtlF,BSU03982,,,,,
mtlD,BSU03990,,mtlB,,,
ycsA,BSU04000,,,,,
sipU,BSU04010,,ycsB,,,
yczH,BSU04020,,,,,
ycsD,BSU04030,,,,,
yczO,BSU04039,,,,,
ycsE,BSU04040,,,,,
pxpA,BSU04050,,ycsF,,,
ycsG,BSU04060,,ycsH,,,
ycsI,BSU04070,,,,,
pxpB,BSU04080,,kipI,ycsJ,,
pxpC,BSU04090,,kipA,,,
kipR,BSU04100,,ycsO,,,
lipC,BSU04110,,ycsK,,,
yczI,BSU04120,,,,,
yczJ,BSU04130,,,,,
pbpC,BSU04140,,ycsM,yzsA,,
ycsN,BSU04150,,,,,
mtlR,BSU04160,,ydaA,,,
ydaB,BSU04170,,,,,
ydaC,BSU04180,,,,,
ydaD,BSU04190,,,,,
ydaE,BSU04200,,,,,
ydaF,BSU04210,,,,,
ydaG,BSU04220,,yzzA,,,
amj,BSU04230,,ydaH,,,
ydzA,BSU04240,,,,,
lrpC,BSU04250,,ydaI,,,
topB,BSU04260,,,,,
ydaJ,BSU04270,,,,,
ydaK,BSU04280,,,,,
ydaL,BSU04290,,,,,
ydaM,BSU04300,,,,,
ydaN,BSU04310,,,,,
kimA,BSU04320,,ydaO,,,
mutT,BSU04330,,,,,
ydaP,BSU04340,,,,,
ydzK,BSU04359,,,,,
mntH,BSU04360,,ydaR,,,
ydaS,BSU04370,,,,,
ydaT,BSU04380,,,,,
ydbA,BSU04390,,,,,
gsiB,BSU04400,,,,,
ydbB,BSU04410,,,,,
ydbC,BSU04420,,,,,
ydbD,BSU04430,,,,,
dctB,BSU04440,,ydbE,,,
dctS,BSU04450,,ydbF,,,
dctR,BSU04460,,ydbG,,,
dctA,BSU04470,,dctP,ydbH,,
ydbI,BSU04480,,,,,
ydbJ,BSU04490,,,,,
ydbK,BSU04500,,,,,
ydbL,BSU04510,,,,,
ydbM,BSU04520,,,,,
ydbN,BSU04530,,,,,
ydbO,BSU04540,,,,,
ydbP,BSU04550,,,,,
ddl,BSU04560,,ddlA,,,
murF,BSU04570,,ydbQ,,,
cshA,BSU04580,,ydbR,,,
ydbS,BSU04590,,,,,
ydbT,BSU04600,,,,,
ydcA,BSU04610,,,,,
acpS,BSU04620,,ydcB,,,
ydcC,BSU04630,,,,,
alr1,BSU04640,,alr,dal,,
ndoAI,BSU04650,,mazE,,,
ndoA,BSU04660,,mazF,ydcE,,
rsbRA,BSU04670,,rsbR,ycxR,,
rsbS,BSU04680,,ycxS,,,
rsbT,BSU04690,,ycxT,,,
rsbU,BSU04700,,,,,
rsbV,BSU04710,,,,,
rsbW,BSU04720,,,,,
sigB,BSU04730,,rpoF,,,
rsbX,BSU04740,,,,,
ydcF,BSU04750,,,,,
ydcG,BSU04760,,,,,
ydcH,BSU04770,,,,,
ydcI,BSU04780,,ydcJ,,,
ydcK,BSU04790,,,,,
int,BSU04800,,ydcL,,,
immA,BSU04810,,ydcM,,,
immR,BSU04820,,ydcN,,,
xis,BSU04830,,sacV,,,
ydzL,BSU04839,,,,,
ydcO,BSU04840,,,,,
ydcP,BSU04850,,,,,
ydcQ,BSU04860,,,,,
nicK,BSU04870,,ydcR,,,
ydcS,BSU04880,,,,,
ydcT,BSU04890,,,,,
yddA,BSU04900,,,,,
yddB,BSU04910,,,,,
yddC,BSU04920,,,,,
yddD,BSU04930,,,,,
yddE,BSU04940,,,,,
yddF,BSU04950,,,,,
yddG,BSU04960,,,,,
yddH,BSU04970,,,,,
yddI,BSU04980,,,,,
yddJ,BSU04990,,,,,
yddK,BSU05000,,,,,
rapI,BSU05010,,yddL,,,
phrI,BSU05020,,,,,
yddM,BSU05030,,,,,
yddN,BSU05040,,,,,
lrpA,BSU05050,,yddO,,,
lrpB,BSU05060,,yddP,,,
yddQ,BSU05070,,,,,
yddR,BSU05080,,,,,
yddS,BSU05090,,,,,
ydzM,BSU05099,BSU21329,youB,,,
yddT,BSU05100,,,,,
ydzN,BSU05109,,,,,
ydeA,BSU05110,,,,,
cspC,BSU05120,,,,,
ydeB,BSU05130,,,,,
ydzE,BSU05140,,,,,
ydeC,BSU05150,,,,,
ydeD,BSU05160,,,,,
ydeE,BSU05170,,,,,
ydeF,BSU05180,,,,,
ydeG,BSU05190,,,,,
ydeH,BSU05200,,,,,
ydeI,BSU05210,,,,,
ydeJ,BSU05220,,,,,
ydeK,BSU05230,,,,,
ydeL,BSU05240,,,,,
ydeM,BSU05250,,,,,
ydeN,BSU05260,,,,,
ydzF,BSU05270,,,,,
ydeO,BSU05280,,,,,
ydeP,BSU05290,,,,,
ydeQ,BSU05300,,,,,
ydeR,BSU05310,,,,,
ydeS,BSU05320,,,,,
ydzO,BSU05329,,,,,
aseR,BSU05330,,ydeT,,,
ydfA,BSU05340,,,,,
ydfB,BSU05350,,,,,
ydfC,BSU05360,,,,,
ydfD,BSU05370,,,,,
ydfE,BSU05380,,,,,
ydfF,BSU05390,,,,,
ydfG,BSU05400,,,,,
ydzP,BSU05408,,,,,
ydzQ,BSU05409,,,,,
ydfH,BSU05410,,,,,
ydfI,BSU05420,,,,,
ydfJ,BSU05430,,,,,
nap,BSU05440,,,,,
ydfK,BSU05450,,,,,
ydfL,BSU05460,,,,,
mneP,BSU05470,,ydfM,,,
mhqN,BSU05480,,ydfN,,,
mhqO,BSU05490,,ydfO,,,
mhqP,BSU05500,,ydfP,,,
ydfQ,BSU05510,,,,,
ydzH,BSU05520,,,,,
ydzR,BSU05529,,,,,
ydfR,BSU05530,,,,,
ydfS,BSU05540,,,,,
cotP,BSU05550,,ydfT,,,
ydgA,BSU05560,,,,,
ydgB,BSU05570,,,,,
ydgC,BSU05580,,,,,
ydgD,BSU05590,,,,,
ydgE,BSU05600,,,,,
vmlR,BSU05610,,expZ,,,
ydgF,BSU05620,,,,,
dinB,BSU05630,,,,,
ydgG,BSU05640,,,,,
ydgH,BSU05650,,,,,
ydgI,BSU05660,,,,,
ydgJ,BSU05670,,,,,
ydgK,BSU05680,,,,,
ydhB,BSU05690,,,,,
ydhC,BSU05700,,,,,
ydhD,BSU05710,,,,,
ydhE,BSU05720,,,,,
ydhF,BSU05730,,,,,
phoB,BSU05740,,phoAIII,,,
fra,BSU05750,,ydhG,,,
ydhH,BSU05760,,,,,
ydhI,BSU05770,,,,,
ydhJ,BSU05780,,,,,
ydhK,BSU05790,,,,,
pbuE,BSU05800,,ydhL,,,
gmuB,BSU05810,,ydhM,,,
gmuA,BSU05820,,ydhN,,,
gmuC,BSU05830,,ydhO,,,
gmuD,BSU05840,,bglD,ydhP,,
gmuR,BSU05850,,ydhQ,,,
gmuE,BSU05860,,ydhR,,,
gmuF,BSU05870,,ydhS,,,
gmuG,BSU05880,,ydhT,,,
thiL,BSU05900,,ydiA,ydxA,,
tsaE,BSU05910,,ydiB,,,
tsaB,BSU05920,,ydiC,,,
rimI,BSU05930,,ydiD,,,
tsaD,BSU05940,,gcp,ydiE,,
ydiF,BSU05950,,,,,
moaC,BSU05960,,ydiG,,,
rex,BSU05970,,ydiH,,,
tatAy,BSU05980,,ydiI,,,
tatC2,BSU05990,,tatCy,ydiJ,,
ydiK,BSU06000,,,,,
ydiL,BSU06010,,,,,
groS,BSU06020,,groES,mopB,,
groL,BSU06030,,groEL,mopA,,
ydiM,BSU06040,,,,,
ydzU,BSU06048,,,,,
ydiN,BSU06050,,,,,
ydiO,BSU06060,,,,,
ydiP,BSU06070,,,,,
ydiR,BSU06090,,,,,
ydiS,BSU06100,,,,,
ydjA,BSU06110,,,,,
ydjB,BSU06120,,,,,
ydjC,BSU06130,,,,,
gutR,BSU06140,,,,,
gutB,BSU06150,,,,,
gutA,BSU06160,,ydjD,,,
ydjE,BSU06170,,fruC,,,
ydjF,BSU06180,,,,,
ydjG,BSU06190,,,,,
ydjH,BSU06200,,,,,
ydjI,BSU06210,,,,,
ydjJ,BSU06220,,,,,
iolT,BSU06230,,ydjK,,,
bdhA,BSU06240,,ydjL,,,
ydjM,BSU06250,,yzvA,,,
ydjN,BSU06260,,,,,
ydzJ,BSU06269,,,,,
ydjO,BSU06270,,,,,
ydjP,BSU06280,,,,,
yeaA,BSU06290,,ydjQ,,,
cotA,BSU06300,,pig,,,
gabP,BSU06310,,,,,
ydzX,BSU06319,,,,,
mneS,BSU06320,,ydxT,yeaB,,
yeaC,BSU06330,,,,,
yeaD,BSU06340,,,,,
yebA,BSU06350,,,,,
guaA,BSU06360,,,,,
pbuG,BSU06370,,yebB,,,
yebC,BSU06380,,,,,
yebD,BSU06390,,,,,
yebE,BSU06400,,yebF,,,
yebG,BSU06410,,,,,
purE,BSU06420,,,,,
purK,BSU06430,,,,,
purB,BSU06440,,purE,,,
purC,BSU06450,,,,,
purS,BSU06460,,yexA,,,
purQ,BSU06470,,,,,
purL,BSU06480,,,,,
purF,BSU06490,,,,,
purM,BSU06500,,ath,,,
purN,BSU06510,,,,,
purH,BSU06520,,purHJ,,,
purD,BSU06530,,,,,
yezC,BSU06540,,,,,
yecA,BSU06550,,,,,
yezF,BSU06559,,,,,
yerA,BSU06560,,yecB,,,
yerB,BSU06570,,yecC,,,
yerC,BSU06580,,yecD,,,
yerD,BSU06590,,yecE,,,
pcrB,BSU06600,,yerE,,,
pcrA,BSU06610,,yerF,,,
ligA,BSU06620,,lig,yerG,,
yerH,BSU06630,,,,,
yerI,BSU06640,,,,,
sapB,BSU06650,,,,,
opuE,BSU06660,,yerK,,,
gatC,BSU06670,,yedA,yerL,,
gatA,BSU06680,,yedB,yerM,,
gatB,BSU06690,,yerN,,,
yerO,BSU06700,,,,,
swrC,BSU06710,,,,,
dagK,BSU06720,,dgkB,yerQ,,
rlmCD,BSU06730,,yefA,yerS,,
yefB,BSU06740,,,,,
yefC,BSU06750,,,,,
yeeA,BSU06760,,,,,
yeeB,BSU06770,,,,,
yeeC,BSU06780,,,,,
yeeD,BSU06790,,,,,
yezA,BSU06800,,,,,
yeeF,BSU06810,,,,,
yezG,BSU06811,,yeeE,,,
yeeG,BSU06820,,,,,
rapH,BSU06830,,yeeH,yzqA,,
phrH,BSU06839,,,,,
yeeI,BSU06840,,,,,
yeeK,BSU06850,,,,,
yezE,BSU06860,,,,,
yesE,BSU06870,,yeeL,,,
yesF,BSU06880,,yeeM,yfxB,,
cotJA,BSU06890,,,,,
cotJB,BSU06900,,,,,
cotJC,BSU06910,,,,,
yesJ,BSU06920,,yeeN,yfxC,yfxD,
yesK,BSU06930,,,,,
yesL,BSU06940,,,,,
yesM,BSU06950,,,,,
yesN,BSU06960,,,,,
yesO,BSU06970,,,,,
yesP,BSU06980,,,,,
yesQ,BSU06990,,,,,
yesR,BSU07000,,,,,
yesS,BSU07010,,,,,
rhgT,BSU07020,,yesT,,,
yesU,BSU07030,,,,,
yesV,BSU07040,,,,,
yesW,BSU07050,,,,,
yesX,BSU07060,,,,,
yesY,BSU07070,,,,,
yesZ,BSU07080,,,,,
yetA,BSU07090,,,,,
lipO,BSU07100,,lplA,,,
lplB,BSU07110,,,,,
lplC,BSU07120,,,,,
lplD,BSU07130,,,,,
yetF,BSU07140,,,,,
hmoA,BSU07150,,yetG,,,
yetH,BSU07160,,,,,
yezB,BSU07180,,yetI,,,
yezD,BSU07190,,,,,
yetJ,BSU07200,,,,,
yetK,BSU07210,,,,,
yetL,BSU07220,,,,,
yetM,BSU07230,,yfnL,,,
yetN,BSU07240,,,,,
cypD,BSU07250,,cyp102A2,yetO,yfnJ,
ltaS1,BSU07260,,yfnI,,,
yfnH,BSU07270,,,,,
yfnG,BSU07280,,,,,
yfnF,BSU07290,,,,,
yfnE,BSU07300,,,,,
yfnD,BSU07310,,,,,
yfnC,BSU07320,,,,,
yfnB,BSU07330,,,,,
mtrA,BSU07340,,yfnA,,,
yfmT,BSU07350,,,,,
yfmS,BSU07360,,,,,
yfmR,BSU07370,,,,,
yfmQ,BSU07380,,,,,
yfmP,BSU07390,,,,,
yfmO,BSU07400,,,,,
yfmN,BSU07410,,,,,
yfmM,BSU07420,,,,,
yfmL,BSU07430,,,,,
yfmK,BSU07440,,,,,
yfmJ,BSU07450,,,,,
yfmI,BSU07460,,,,,
yfmG,BSU07480,,,,,
yfmF,BSU07490,,,,,
yfmE,BSU07500,,,,,
yfmD,BSU07510,,,,,
yfmC,BSU07520,,,,,
yfmB,BSU07530,,,,,
yflT,BSU07550,,,,,
pel,BSU07560,,,,,
yflS,BSU07570,,,,,
citS,BSU07580,,yflR,,,
citT,BSU07590,,yflQ,,,
yflP,BSU07600,,,,,
citM,BSU07610,,yflO,,,
yflN,BSU07620,,,,,
nos,BSU07630,,yflM,,,
acyP,BSU07640,,AcP,yflL,,
yflK,BSU07650,,,,,
yflJ,BSU07660,,,,,
yflI,BSU07670,,,,,
yflH,BSU07680,,,,,
mapB,BSU07690,,yflG,,,
nagP,BSU07700,,,,,
ltaS2,BSU07710,,yflE,,,
yflD,BSU07720,,,,,
yflB,BSU07740,,,,,
yflA,BSU07750,,,,,
yfkT,BSU07760,,,,,
yfkS,BSU07770,,,,,
yfkR,BSU07780,,,,,
yfkQ,BSU07790,,,,,
treP,BSU07800,,treB,,,
treA,BSU07810,,treC,,,
treR,BSU07820,,yfxA,,,
yfkO,BSU07830,,,,,
yfkN,BSU07840,,,,,
yfkM,BSU07850,,,,,
yfkL,BSU07860,,,,,
yfkK,BSU07870,,,,,
yfkJ,BSU07880,,,,,
yfkI,BSU07890,,,,,
yfkH,BSU07900,,,,,
yfkF,BSU07910,,,,,
chaA,BSU07920,,yfkE,,,
yfkD,BSU07930,,,,,
yfkC,BSU07940,,,,,
yfkA,BSU07955,,ykfB,,,
